state,township,admin3_pcode,vul_score,conflict_score,insecure_pc,insecure_persons,IDPs,population,conflict_affected,pre_ex_vulnerable,vul_pop,vul_pop_score,caseload,caseload_pc,PIN,pc_pin,pc_pop
Bago,Bago,MMR007001,0.243323511,0.202007472,28.62,1411157,5001,500087.8011,101021.4725,121683.1195,121683.1195,0.243323511,126684.1195,0.072254727,106963.7634,0.070932242,0.213889967
Bago,Thanatpin,MMR007002,0.430133188,0,28.62,1411157,0,146303.6844,0,62930.07025,62930.07025,0.430133188,62930.07025,0.035892384,50649.78855,0.033588039,0.346196261
Bago,Kawa,MMR007003,0.40292229,0.011055444,28.62,1411157,0,199548.6958,2206.099422,80402.61745,80402.61745,0.40292229,80402.61745,0.045857912,64712.71296,0.042913765,0.324295344
Bago,Waw,MMR007004,0.388049691,0.01570763,28.62,1411157,0,177665.3708,2790.701993,68942.99215,68942.99215,0.388049691,68942.99215,0.039321875,55489.33857,0.036797351,0.312325009
Bago,Nyaunglebin,MMR007005,0.285332384,0.05854118,28.62,1411157,4501,202766.4611,11870.18788,57855.83769,57855.83769,0.285332384,62356.83769,0.035565439,54689.41758,0.036266889,0.26971629
Bago,Kyauktaga,MMR007006,0.334886853,0.046478366,28.62,1411157,1127,252902.0255,11754.47279,84693.56335,84693.56335,0.334886853,85820.56335,0.048948056,70200.39162,0.046552879,0.277579397
Bago,Daik-U,MMR007007,0.310713018,0.022114394,28.62,1411157,0,205038.5659,4534.303667,63708.1517,63708.1517,0.310713018,63708.1517,0.036336165,51276.03385,0.034003329,0.250079948
Bago,Shwegyin,MMR007008,0.353390118,0.012519824,28.62,1411157,191,107901.9179,1350.913055,38131.47151,38131.47151,0.353390118,38322.47151,0.021857354,31035.15878,0.02058074,0.287623792
Bago,Taungoo,MMR007009,0.229865403,0.07939144,28.62,1411157,4585,267279.7629,21219.72539,61438.37043,61438.37043,0.229865403,66023.37043,0.037656658,57724.45683,0.038279554,0.215970174
Bago,Yedashe,MMR007010,0.344564053,0.027940399,28.62,1411157,0,216257.8718,6042.331172,74514.68891,74514.68891,0.344564053,74514.68891,0.042499711,59973.76488,0.039771166,0.277325234
Bago,Kyaukkyi,MMR007011,0.426242886,0.288600522,28.62,1411157,72872,113765.4305,32832.76259,48491.70545,48491.70545,0.426242886,121363.7055,0.06922021,170552.5841,0.113100706,1.499160011
Bago,Phyu,MMR007012,0.346389823,0.049868794,28.62,1411157,6001,260566.6057,12994.14238,90257.62036,90257.62036,0.346389823,96258.62036,0.054901438,83475.54831,0.055356203,0.320361652
Bago,Oktwin,MMR007013,0.368654008,0.004725562,28.62,1411157,490,161706.9219,764.1560277,59613.90491,59613.90491,0.368654008,60103.90491,0.034280471,48865.12595,0.032404553,0.302183267
Bago,Htantabin,MMR007014,0.385086646,0.023987406,28.62,1411157,2046,118503.832,2842.599496,45634.24326,45634.24326,0.385086646,47680.24326,0.027194592,40421.83892,0.026805448,0.341101534
Bago,Pyay,MMR008001,0.233326558,0.11971433,28.62,1411157,0,259960.5467,31121.0026,60655.69963,60655.69963,0.233326558,60655.69963,0.034595189,48819.24251,0.032374126,0.187794814
