state,State/Region Pcode,District, Township ,Township Pcode,,Population,"IDPs 
(projection)","Returned, resettled and locally integrated IDPs
(projection)","Non-displaced stateless people in Rakhine
",Rest of the population
Shan (South),MMR222,Loilen,Monghsu,MMR014017,MMR014017,83089.59978,0,0,,83089.59978
Shan (South),MMR222,Langkho,Langkho,MMR014018,MMR014018,47240.48739,0,0,,47240.48739
Shan (South),MMR222,Langkho,Mongnai,MMR014019,MMR014019,45447.78665,0,0,,45447.78665
Shan (South),MMR222,Langkho,Mawkmai,MMR014020,MMR014020,38617.64179,467,89,,38061.64179
Shan (South),MMR222,Langkho,Mongpan,MMR014021,MMR014021,29849.25954,933,177,,28739.25954
Shan (North),MMR222,Lashio,Lashio,MMR015001,MMR015001,371388.5508,10454,1986,,358948.5508
Shan (North),MMR222,Lashio,Hseni,MMR015002,MMR015002,65280.11396,1120,213,,63947.11396
Shan (North),MMR222,Lashio,Mongyai,MMR015003,MMR015003,68116.52227,0,0,,68116.52227
Shan (North),MMR222,Lashio,Tangyan,MMR015004,MMR015004,197348.4686,1197,227,,195924.4686
Shan (North),MMR222,Matman,Pangsang (Panghkam),MMR015005,MMR015005,120299.3809,0,0,,120299.3809
Shan (North),MMR222,Matman,Narphan,MMR015006,MMR015006,131696.6474,0,0,,131696.6474
Shan (North),MMR222,Hopang,Pangwaun,MMR015007,MMR015007,110025.0106,0,0,,110025.0106
Shan (North),MMR222,Hopang,Mongmao,MMR015008,MMR015008,80323.67278,0,0,,80323.67278
Shan (North),MMR222,Muse,Muse,MMR015009,MMR015009,197071.281,8919,1695,,186457.281
Shan (North),MMR222,Muse,Namhkan,MMR015010,MMR015010,123118.5908,765,145,,122208.5908
Shan (North),MMR222,Muse,Kutkai,MMR015011,MMR015011,199360.5261,8354,1587,,189419.5261
Shan (North),MMR222,Kyaukme,Kyaukme,MMR015012,MMR015012,198633.363,20877,3967,,173789.363
Shan (North),MMR222,Kyaukme,Nawnghkio,MMR015013,MMR015013,172062.7247,2578,490,,168994.7247
Shan (North),MMR222,Kyaukme,Hsipaw,MMR015014,MMR015014,202489.3466,24805,4713,,172971.3466
Shan (North),MMR222,Kyaukme,Namtu,MMR015015,MMR015015,58159.48357,13892,2639,,41628.48357
Shan (North),MMR222,Pa Laung Self-Administered Zone,Namhsan,MMR015016,MMR015016,83056.83708,4393,835,,77828.83708
Shan (North),MMR222,Mongmit,Mongmit,MMR015017,MMR015017,72968.6042,956,182,,71830.6042
Shan (North),MMR222,Mongmit,Mabein,MMR015018,MMR015018,54350.3099,0,0,,54350.3099
Shan (North),MMR222,Pa Laung Self-Administered Zone,Manton,MMR015019,MMR015019,44077.3552,324,62,,43691.3552
Shan (North),MMR222,Lashio,Kunlong,MMR015020,MMR015020,67040.90435,845,161,,66034.90435
Shan (North),MMR222,Hopang,Hopang,MMR015021,MMR015021,69851.26625,0,0,,69851.26625
Shan (North),MMR222,Kokang Self-Administered Zone,Laukkaing,MMR015022,MMR015022,107921.61,2333,443,,105145.61
Shan (North),MMR222,Kokang Self-Administered Zone,Konkyan,MMR015023,MMR015023,68384.39343,0,0,,68384.39343
Shan (North),MMR222,Matman,Matman,MMR015024,MMR015024,22408.5248,0,0,,22408.5248
Shan (East),MMR222,Kengtung,Kengtung,MMR016001,MMR016001,197598.4783,0,0,,197598.4783
Shan (East),MMR222,Kengtung,Mongkhet,MMR016002,MMR016002,50803.44709,0,0,,50803.44709
Shan (East),MMR222,Kengtung,Mongyang,MMR016003,MMR016003,123452.9105,0,0,,123452.9105
Shan (East),MMR222,Kengtung,Mongla,MMR016005,MMR016005,49509.03377,0,0,,49509.03377
Shan (East),MMR222,Monghsat,Monghsat,MMR016006,MMR016006,118612.6231,0,0,,118612.6231
Shan (East),MMR222,Kengtung,Mongping,MMR016007,MMR016007,78632.49615,0,0,,78632.49615
Shan (East),MMR222,Monghsat,Mongton,MMR016008,MMR016008,79770.72738,0,0,,79770.72738
Shan (East),MMR222,Tachileik,Tachileik,MMR016009,MMR016009,204066.2156,0,0,,204066.2156
Shan (East),MMR222,Tachileik,Monghpyak,MMR016010,MMR016010,35130.44124,0,0,,35130.44124
Shan (East),MMR222,Tachileik,Mongyawng,MMR016011,MMR016011,92607.29633,0,0,,92607.29633
Ayeyarwady,MMR017,Pathein,Pathein,MMR017001,MMR017001,385609.1242,3856,733,,381020.1242
Ayeyarwady,MMR017,Pathein,Kangyidaunt,MMR017002,MMR017002,179066.7477,0,0,,179066.7477
Ayeyarwady,MMR017,Pathein,Thabaung,MMR017003,MMR017003,155584.4275,0,0,,155584.4275
Ayeyarwady,MMR017,Pathein,Ngapudaw,MMR017004,MMR017004,327127.6112,0,0,,327127.6112
Ayeyarwady,MMR017,Pathein,Kyonpyaw,MMR017005,MMR017005,239189.2437,0,0,,239189.2437
Ayeyarwady,MMR017,Pathein,Yegyi,MMR017006,MMR017006,197932.3144,0,0,,197932.3144
Ayeyarwady,MMR017,Pathein,Kyaunggon,MMR017007,MMR017007,165155.2668,0,0,,165155.2668
Ayeyarwady,MMR017,Hinthada,Hinthada,MMR017008,MMR017008,346305.3676,0,0,,346305.3676
Ayeyarwady,MMR017,Hinthada,Zalun,MMR017009,MMR017009,171492.338,0,0,,171492.338
Ayeyarwady,MMR017,Hinthada,Lemyethna,MMR017010,MMR017010,104781.5538,0,0,,104781.5538
Ayeyarwady,MMR017,Hinthada,Myanaung,MMR017011,MMR017011,225066.9552,0,0,,225066.9552
Ayeyarwady,MMR017,Hinthada,Kyangin,MMR017012,MMR017012,99051.48971,0,0,,99051.48971
Ayeyarwady,MMR017,Hinthada,Ingapu,MMR017013,MMR017013,220363.716,0,0,,220363.716
Ayeyarwady,MMR017,Myaungmya,Myaungmya,MMR017014,MMR017014,301156.7514,0,0,,301156.7514
Ayeyarwady,MMR017,Myaungmya,Einme,MMR017015,MMR017015,196128.9628,0,0,,196128.9628
Ayeyarwady,MMR017,Labutta,Labutta,MMR017016,MMR017016,314571.0956,0,0,,314571.0956
Ayeyarwady,MMR017,Myaungmya,Wakema,MMR017017,MMR017017,292895.3061,0,0,,292895.3061
Ayeyarwady,MMR017,Labutta,Mawlamyinegyun,MMR017018,MMR017018,313967.6743,0,0,,313967.6743
Ayeyarwady,MMR017,Maubin,Maubin,MMR017019,MMR017019,317836.4344,0,0,,317836.4344
Ayeyarwady,MMR017,Maubin,Pantanaw,MMR017020,MMR017020,267781.4474,0,0,,267781.4474
Ayeyarwady,MMR017,Maubin,Nyaungdon,MMR017021,MMR017021,218531.2584,0,0,,218531.2584
Ayeyarwady,MMR017,Maubin,Danubyu,MMR017022,MMR017022,183071.7284,0,0,,183071.7284
Ayeyarwady,MMR017,Pyapon,Pyapon,MMR017023,MMR017023,314387.588,0,0,,314387.588
Ayeyarwady,MMR017,Pyapon,Bogale,MMR017024,MMR017024,323684.4338,0,0,,323684.4338
Ayeyarwady,MMR017,Pyapon,Kyaiklat,MMR017025,MMR017025,195251.6232,0,0,,195251.6232
Ayeyarwady,MMR017,Pyapon,Dedaye,MMR017026,MMR017026,204354.54,0,0,,204354.54
Nay Pyi Taw,MMR018,Oke Ta Ra,Zay Yar Thi Ri,MMR018001,MMR018001,127920.7599,0,0,,127920.7599
Nay Pyi Taw,MMR018,Det Khi Na,Za Bu Thi Ri,MMR018002,MMR018002,127241.5675,0,0,,127241.5675
Nay Pyi Taw,MMR018,Oke Ta Ra,Tatkon,MMR018003,MMR018003,253564.5702,0,0,,253564.5702
Nay Pyi Taw,MMR018,Det Khi Na,Det Khi Na Thi Ri,MMR018004,MMR018004,58176.14748,0,0,,58176.14748
Nay Pyi Taw,MMR018,Oke Ta Ra,Poke Ba Thi Ri,MMR018005,MMR018005,134092.2237,0,0,,134092.2237
Nay Pyi Taw,MMR018,Det Khi Na,Pyinmana,MMR018006,MMR018006,217219.6519,0,0,,217219.6519
Nay Pyi Taw,MMR018,Det Khi Na,Lewe,MMR018007,MMR018007,329696.9242,0,0,,329696.9242
Nay Pyi Taw,MMR018,Oke Ta Ra,Oke Ta Ra Thi Ri,MMR018008,MMR018008,93568.15525,0,0,,93568.15525
