state,adm1_pcode,District,township,Township Pcode,Population,IDPs,IDP returnees/ resettled/ locally integrated ,"Non-displaced stateless people in Rakhine
",Rest of the population
Ayeyarwady,MMR017,Hinthada,Hinthada,MMR017008,346305.3676,,,,346305.3676
Ayeyarwady,MMR017,Hinthada,Zalun,MMR017009,171492.338,,,,171492.338
Ayeyarwady,MMR017,Hinthada,Lemyethna,MMR017010,104781.5538,,,,104781.5538
Ayeyarwady,MMR017,Hinthada,Myanaung,MMR017011,225066.9552,,,,225066.9552
Ayeyarwady,MMR017,Hinthada,Kyangin,MMR017012,99051.48971,,,,99051.48971
Ayeyarwady,MMR017,Hinthada,Ingapu,MMR017013,220363.716,,,,220363.716
Ayeyarwady,MMR017,Myaungmya,Myaungmya,MMR017014,301156.7514,,,,301156.7514
Ayeyarwady,MMR017,Myaungmya,Einme,MMR017015,196128.9628,,,,196128.9628
Ayeyarwady,MMR017,Labutta,Labutta,MMR017016,314571.0956,,,,314571.0956
Ayeyarwady,MMR017,Myaungmya,Wakema,MMR017017,292895.3061,,,,292895.3061
Ayeyarwady,MMR017,Labutta,Mawlamyinegyun,MMR017018,313967.6743,,,,313967.6743
Ayeyarwady,MMR017,Maubin,Maubin,MMR017019,317836.4344,,,,317836.4344
Ayeyarwady,MMR017,Maubin,Pantanaw,MMR017020,267781.4474,,,,267781.4474
Ayeyarwady,MMR017,Maubin,Nyaungdon,MMR017021,218531.2584,,,,218531.2584
Ayeyarwady,MMR017,Maubin,Danubyu,MMR017022,183071.7284,,,,183071.7284
Ayeyarwady,MMR017,Pyapon,Pyapon,MMR017023,314387.588,,,,314387.588
Ayeyarwady,MMR017,Pyapon,Bogale,MMR017024,323684.4338,,,,323684.4338
Ayeyarwady,MMR017,Pyapon,Kyaiklat,MMR017025,195251.6232,,,,195251.6232
Ayeyarwady,MMR017,Pyapon,Dedaye,MMR017026,204354.54,,,,204354.54
Nay Pyi Taw,MMR018,Oke Ta Ra,Zay Yar Thi Ri,MMR018001,127920.7599,,,,127920.7599
Nay Pyi Taw,MMR018,Det Khi Na,Za Bu Thi Ri,MMR018002,127241.5675,,,,127241.5675
Nay Pyi Taw,MMR018,Oke Ta Ra,Tatkon,MMR018003,253564.5702,,,,253564.5702
Nay Pyi Taw,MMR018,Det Khi Na,Det Khi Na Thi Ri,MMR018004,58176.14748,,,,58176.14748
Nay Pyi Taw,MMR018,Oke Ta Ra,Poke Ba Thi Ri,MMR018005,134092.2237,,,,134092.2237
Nay Pyi Taw,MMR018,Det Khi Na,Pyinmana,MMR018006,217219.6519,,,,217219.6519
Nay Pyi Taw,MMR018,Det Khi Na,Lewe,MMR018007,329696.9242,,,,329696.9242
Nay Pyi Taw,MMR018,Oke Ta Ra,Oke Ta Ra Thi Ri,MMR018008,93568.15525,,,,93568.15525
