state,adm1_pcode,District,township,Township Pcode,Population,IDPs,IDP returnees/ resettled/ locally integrated ,"Non-displaced stateless people in Rakhine
",Rest of the population
Sagaing,MMR005,Kale,Mingin,MMR005029,111080.6828,27447,,,83633.6828
Sagaing,MMR005,Tamu,Tamu,MMR005030,121127.0837,,,,121127.0837
Sagaing,MMR005,Mawlaik,Mawlaik,MMR005031,54502.48066,,,,54502.48066
Sagaing,MMR005,Mawlaik,Paungbyin,MMR005032,119166.4401,,,,119166.4401
Sagaing,MMR005,Hkamti,Hkamti,MMR005033,50079.50985,,,,50079.50985
Sagaing,MMR005,Hkamti,Homalin,MMR005034,270724.3605,,,,270724.3605
Sagaing,MMR005,Naga Self-Administered Zone,Lay Shi,MMR005035,17130.20821,,,,17130.20821
Sagaing,MMR005,Naga Self-Administered Zone,Lahe,MMR005036,50785.90406,,,,50785.90406
Sagaing,MMR005,Naga Self-Administered Zone,Nanyun,MMR005037,54470.4648,,,,54470.4648
Tanintharyi,MMR006,Dawei,Dawei,MMR006001,160970.753,1887,1255,,157828.753
Tanintharyi,MMR006,Dawei,Launglon,MMR006002,129467.8583,,,,129467.8583
Tanintharyi,MMR006,Dawei,Thayetchaung,MMR006003,115291.0587,8700,8300,,98291.05867
Tanintharyi,MMR006,Dawei,Yebyu,MMR006004,132830.9526,2800,200,,129830.9526
Tanintharyi,MMR006,Myeik,Myeik,MMR006005,308243.6298,300,100,,307843.6298
Tanintharyi,MMR006,Myeik,Kyunsu,MMR006006,183848.5576,,,,183848.5576
Tanintharyi,MMR006,Myeik,Palaw,MMR006007,140533.9285,2424,1184,,136925.9285
Tanintharyi,MMR006,Myeik,Tanintharyi,MMR006008,114700.5616,5600,50,,109050.5616
Tanintharyi,MMR006,Kawthoung,Kawthoung,MMR006009,151222.1748,,,,151222.1748
Tanintharyi,MMR006,Kawthoung,Bokpyin,MMR006010,87247.52526,263,0,,86984.52526
Bago (East),MMR111,Bago,Bago,MMR007001,500087.8011,,,,500087.8011
Bago (East),MMR111,Bago,Thanatpin,MMR007002,146303.6844,,,,146303.6844
Bago (East),MMR111,Bago,Kawa,MMR007003,199548.6958,,,,199548.6958
Bago (East),MMR111,Bago,Waw,MMR007004,177665.3708,,,,177665.3708
Bago (East),MMR111,Bago,Nyaunglebin,MMR007005,202766.4611,1929,,,200837.4611
Bago (East),MMR111,Bago,Kyauktaga,MMR007006,252902.0255,483,,,252419.0255
Bago (East),MMR111,Bago,Daik-U,MMR007007,205038.5659,,,,205038.5659
Bago (East),MMR111,Bago,Shwegyin,MMR007008,107901.9179,0,143,,107758.9179
Bago (East),MMR111,Taungoo,Taungoo,MMR007009,267279.7629,1965,,,265314.7629
Bago (East),MMR111,Taungoo,Yedashe,MMR007010,216257.8718,,,,216257.8718
Bago (East),MMR111,Taungoo,Kyaukkyi,MMR007011,113765.4305,27256,8601,,77908.4305
Bago (East),MMR111,Taungoo,Phyu,MMR007012,260566.6057,2572,,,257994.6057
Bago (East),MMR111,Taungoo,Oktwin,MMR007013,161706.9219,210,,,161496.9219
Bago (East),MMR111,Taungoo,Htantabin,MMR007014,118503.832,564,390,,117549.832
Bago (West),MMR111,Pyay,Pyay,MMR008001,259960.5467,,,,259960.5467
Bago (West),MMR111,Pyay,Paukkhaung,MMR008002,127549.4811,,,,127549.4811
Bago (West),MMR111,Pyay,Padaung,MMR008003,149187.8096,,,,149187.8096
Bago (West),MMR111,Pyay,Paungde,MMR008004,142452.0253,,,,142452.0253
Bago (West),MMR111,Pyay,Thegon,MMR008005,136274.9731,,,,136274.9731
Bago (West),MMR111,Pyay,Shwedaung,MMR008006,126700.8498,,,,126700.8498
Bago (West),MMR111,Thayarwady,Thayarwady,MMR008007,154502.9572,,,,154502.9572
Bago (West),MMR111,Thayarwady,Letpadan,MMR008008,181224.3863,,,,181224.3863
Bago (West),MMR111,Thayarwady,Minhla,MMR008009,125868.8135,,,,125868.8135
Bago (West),MMR111,Thayarwady,Okpho,MMR008010,130228.6517,,,,130228.6517
Bago (West),MMR111,Thayarwady,Zigon,MMR008011,70193.80134,,,,70193.80134
Bago (West),MMR111,Thayarwady,Nattalin,MMR008012,178137.11,,,,178137.11
Bago (West),MMR111,Thayarwady,Monyo,MMR008013,131403.2926,,,,131403.2926
Bago (West),MMR111,Thayarwady,Gyobingauk,MMR008014,121787.3544,,,,121787.3544
Magway,MMR009,Magway,Magway,MMR009001,289340.0722,,,,289340.0722
Magway,MMR009,Magway,Yenangyaung,MMR009002,135718.7332,,,,135718.7332
Magway,MMR009,Magway,Chauk,MMR009003,186951.0271,,,,186951.0271
Magway,MMR009,Magway,Taungdwingyi,MMR009004,259436.6733,,,,259436.6733
Magway,MMR009,Magway,Myothit,MMR009005,158802.5751,,,,158802.5751
Magway,MMR009,Magway,Natmauk,MMR009006,207768.8621,1289,,,206479.8621
Magway,MMR009,Minbu,Minbu,MMR009007,187750.2269,279,,,187471.2269
Magway,MMR009,Minbu,Pwintbyu,MMR009008,163356.762,,,,163356.762
Magway,MMR009,Minbu,Ngape,MMR009009,51621.27462,,,,51621.27462
Magway,MMR009,Minbu,Salin,MMR009010,236364.9032,,,,236364.9032
Magway,MMR009,Minbu,Sidoktaya,MMR009011,47342.92736,,,,47342.92736
Magway,MMR009,Thayet,Thayet,MMR009012,104667.4419,,,,104667.4419
Magway,MMR009,Thayet,Minhla,MMR009013,144398.9653,,,,144398.9653
Magway,MMR009,Thayet,Mindon,MMR009014,60559.7256,,,,60559.7256
Magway,MMR009,Thayet,Kamma,MMR009015,75925.95121,,,,75925.95121
Magway,MMR009,Thayet,Aunglan,MMR009016,234670.6744,,,,234670.6744
Magway,MMR009,Thayet,Sinbaungwe,MMR009017,117212.3488,,,,117212.3488
Magway,MMR009,Pakokku,Pakokku,MMR009018,291599.0534,10128,,,281471.0534
Magway,MMR009,Pakokku,Yesagyo,MMR009019,216678.4559,7038,,,209640.4559
Magway,MMR009,Pakokku,Myaing,MMR009020,226800.541,6519,,,220281.541
Magway,MMR009,Pakokku,Pauk,MMR009021,170553.0521,7452,,,163101.0521
Magway,MMR009,Pakokku,Seikphyu,MMR009022,102300.0198,4793,,,97507.01979
Magway,MMR009,Gangaw,Gangaw,MMR009023,132980.7017,37153,,,95827.70167
Magway,MMR009,Gangaw,Tilin,MMR009024,49721.99928,7595,,,42126.99928
Magway,MMR009,Gangaw,Saw,MMR009025,69541.03261,15823,,,53718.03261
Mandalay,MMR010,Mandalay,Aungmyaythazan,MMR010001,287592.1048,,,,287592.1048
Mandalay,MMR010,Mandalay,Chanayethazan,MMR010002,213578.5364,,,,213578.5364
Mandalay,MMR010,Mandalay,Mahaaungmyay,MMR010003,259905.3188,,,,259905.3188
Mandalay,MMR010,Mandalay,Chanmyathazi,MMR010004,305589.3494,,,,305589.3494
Mandalay,MMR010,Mandalay,Pyigyitagon,MMR010005,254379.7842,,,,254379.7842
Mandalay,MMR010,Mandalay,Amarapura,MMR010006,257123.2448,,,,257123.2448
Mandalay,MMR010,Mandalay,Patheingyi,MMR010007,283288.2628,,,,283288.2628
Mandalay,MMR010,Pyinoolwin,Pyinoolwin,MMR010008,274996.5186,,,,274996.5186
Mandalay,MMR010,Pyinoolwin,Madaya,MMR010009,278347.7232,,,,278347.7232
Mandalay,MMR010,Pyinoolwin,Singu,MMR010010,169738.0282,,,,169738.0282
Mandalay,MMR010,Pyinoolwin,Mogoke,MMR010011,180414.623,,,,180414.623
Mandalay,MMR010,Pyinoolwin,Thabeikkyin,MMR010012,174620.1513,,,,174620.1513
Mandalay,MMR010,Kyaukse,Kyaukse,MMR010013,278800.8742,,,,278800.8742
Mandalay,MMR010,Kyaukse,Sintgaing,MMR010014,161989.9581,,,,161989.9581
Mandalay,MMR010,Kyaukse,Myittha,MMR010015,212126.596,,,,212126.596
Mandalay,MMR010,Kyaukse,Tada-U,MMR010016,151483.8607,,,,151483.8607
Mandalay,MMR010,Myingyan,Myingyan,MMR010017,301516.1511,,,,301516.1511
Mandalay,MMR010,Myingyan,Taungtha,MMR010018,236047.3456,,,,236047.3456
Mandalay,MMR010,Myingyan,Natogyi,MMR010019,193975.2962,,,,193975.2962
Mandalay,MMR010,Nyaung-U,Kyaukpadaung,MMR010020,286462.3326,,,,286462.3326
Mandalay,MMR010,Myingyan,Ngazun,MMR010021,136169.5258,,,,136169.5258
Mandalay,MMR010,Nyaung-U,Nyaung-U,MMR010022,262457.1475,,,,262457.1475
Mandalay,MMR010,Yamethin,Yamethin,MMR010023,279744.2488,,,,279744.2488
Mandalay,MMR010,Yamethin,Pyawbwe,MMR010024,282657.8898,,,,282657.8898
Mandalay,MMR010,Meiktila,Meiktila,MMR010028,337339.1977,,,,337339.1977
Mandalay,MMR010,Meiktila,Mahlaing,MMR010029,153551.7978,,,,153551.7978
Mandalay,MMR010,Meiktila,Thazi,MMR010030,219766.875,,,,219766.875
Mandalay,MMR010,Meiktila,Wundwin,MMR010031,251138.2576,,,,251138.2576
Mon,MMR011,Mawlamyine,Mawlamyine,MMR011001,279086.2051,0,50,,279036.2051
Mon,MMR011,Mawlamyine,Kyaikmaraw,MMR011002,185718.5607,,,,185718.5607
Mon,MMR011,Mawlamyine,Chaungzon,MMR011003,117626.2771,,,,117626.2771
Mon,MMR011,Mawlamyine,Thanbyuzayat,MMR011004,162860.6912,,,,162860.6912
Mon,MMR011,Mawlamyine,Mudon,MMR011005,183950.3348,,,,183950.3348
Mon,MMR011,Mawlamyine,Ye,MMR011006,250116.5432,,,,250116.5432
Mon,MMR011,Thaton,Thaton,MMR011007,226224.5125,1577,6989,,217658.5125
Mon,MMR011,Thaton,Paung,MMR011008,207768.443,,,,207768.443
Mon,MMR011,Thaton,Kyaikto,MMR011009,174662.0589,10142,2733,,161787.0589
Mon,MMR011,Thaton,Bilin,MMR011010,171425.3735,2767,12512,,156146.3735
Rakhine,MMR012,Sittwe,Sittwe,MMR012001,239094.2717,116765,84,83807,38438.27168
Rakhine,MMR012,Sittwe,Ponnagyun,MMR012002,208337.2043,1450,191,2618,204078.2043
Rakhine,MMR012,Mrauk-U,Mrauk-U,MMR012003,304949.5005,17893,2904,26739,257413.5005
Rakhine,MMR012,Mrauk-U,Kyauktaw,MMR012004,278748.4957,12990,1079,53431,211248.4957
Rakhine,MMR012,Mrauk-U,Minbya,MMR012005,271265.6714,341,1717,33369,235838.6714
Rakhine,MMR012,Mrauk-U,Myebon,MMR012006,219757.6638,5525,412,,213820.6638
Rakhine,MMR012,Sittwe,Pauktaw,MMR012007,232770.1956,25356,79,16141,191194.1956
Rakhine,MMR012,Sittwe,Rathedaung,MMR012008,139529,19137,,9609,110783
Rakhine,MMR012,Maungdaw,Maungdaw,MMR012009,114535,8000,,73035,33500
Rakhine,MMR012,Maungdaw,Buthidaung,MMR012010,206704,8551,,147992,50161
Rakhine,MMR012,Kyaukpyu,Kyaukpyu,MMR012011,267026.25,1001,,,266025.25
Rakhine,MMR012,Kyaukpyu,Munaung,MMR012012,93387.01399,,,,93387.01399
Rakhine,MMR012,Kyaukpyu,Ramree,MMR012013,158906.8835,,,,158906.8835
Rakhine,MMR012,Kyaukpyu,Ann,MMR012014,192654.6402,1991,1338,,189325.6402
Rakhine,MMR012,Thandwe,Thandwe,MMR012015,217432.8044,,,,217432.8044
Rakhine,MMR012,Thandwe,Toungup,MMR012016,256269.8189,,,,256269.8189
Rakhine,MMR012,Thandwe,Gwa,MMR012017,107520.8362,,,,107520.8362
Yangon,MMR013,Yangon (North),Insein,MMR013001,367570.9311,,,,367570.9311
Yangon,MMR013,Yangon (North),Mingaladon,MMR013002,397346.8718,,,,397346.8718
Yangon,MMR013,Yangon (North),Hmawbi,MMR013003,293370.7185,,,,293370.7185
Yangon,MMR013,Yangon (North),Hlegu,MMR013004,323764.958,,,,323764.958
Yangon,MMR013,Yangon (North),Taikkyi,MMR013005,333895.6684,,,,333895.6684
Yangon,MMR013,Yangon (North),Htantabin,MMR013006,174639.0502,,,,174639.0502
Yangon,MMR013,Yangon (North),Shwepyithar,MMR013007,411830.0972,,,,411830.0972
Yangon,MMR013,,Hlaingtharya (East),MMR013046,618275.8092,,,,618275.8092
Yangon,MMR013,,Hlaingtharya (West),MMR013047,201609.8945,,,,201609.8945
Yangon,MMR013,Yangon (East),Thingangyun,MMR013009,252869.0283,,,,252869.0283
Yangon,MMR013,Yangon (East),Yankin,MMR013010,85965.51484,,,,85965.51484
Yangon,MMR013,Yangon (East),South Okkalapa,MMR013011,194878.821,,,,194878.821
Yangon,MMR013,Yangon (East),North Okkalapa,MMR013012,400937.3556,,,,400937.3556
Yangon,MMR013,Yangon (East),Thaketa,MMR013013,266005.162,,,,266005.162
Yangon,MMR013,Yangon (East),Dawbon,MMR013014,90615.3985,,,,90615.3985
Yangon,MMR013,Yangon (East),Tamwe,MMR013015,200616.9314,,,,200616.9314
Yangon,MMR013,Yangon (East),Pazundaung,MMR013016,58882.83887,,,,58882.83887
Yangon,MMR013,Yangon (East),Botahtaung,MMR013017,49633.31769,,,,49633.31769
Yangon,MMR013,Yangon (East),Dagon Myothit (South),MMR013018,445991.7614,,,,445991.7614
Yangon,MMR013,Yangon (East),Dagon Myothit (North),MMR013019,247861.7567,,,,247861.7567
Yangon,MMR013,Yangon (East),Dagon Myothit (East),MMR013020,199007.1885,,,,199007.1885
Yangon,MMR013,Yangon (East),Dagon Myothit (Seikkan),MMR013021,200709.8613,,,,200709.8613
Yangon,MMR013,Yangon (East),Mingalartaungnyunt,MMR013022,160464.5023,,,,160464.5023
Yangon,MMR013,Yangon (South),Thanlyin,MMR013023,322739.8729,,,,322739.8729
Yangon,MMR013,Yangon (South),Kyauktan,MMR013024,201873.5755,,,,201873.5755
Yangon,MMR013,Yangon (South),Thongwa,MMR013025,190768.3527,,,,190768.3527
Yangon,MMR013,Yangon (South),Kayan,MMR013026,190509.8348,,,,190509.8348
Yangon,MMR013,Yangon (South),Twantay,MMR013027,271544.0443,,,,271544.0443
Yangon,MMR013,Yangon (South),Kawhmu,MMR013028,143114.296,,,,143114.296
Yangon,MMR013,Yangon (South),Kungyangon,MMR013029,134600.1962,,,,134600.1962
Yangon,MMR013,Yangon (South),Dala,MMR013030,207090.4662,,,,207090.4662
Yangon,MMR013,Yangon (South),Seikgyikanaungto,MMR013031,40792.12628,,,,40792.12628
Yangon,MMR013,Yangon (South),Cocokyun,MMR013032,2338.491247,,,,2338.491247
Yangon,MMR013,Yangon (West),Kyauktada,MMR013033,36399.28456,,,,36399.28456
Yangon,MMR013,Yangon (West),Pabedan,MMR013034,40436.04901,,,,40436.04901
Yangon,MMR013,Yangon (West),Lanmadaw,MMR013035,56958.86347,,,,56958.86347
Yangon,MMR013,Yangon (West),Latha,MMR013036,30410.44691,,,,30410.44691
Yangon,MMR013,Yangon (West),Ahlone,MMR013037,67099.45145,,,,67099.45145
Yangon,MMR013,Yangon (West),Kyeemyindaing,MMR013038,134561.6661,,,,134561.6661
Yangon,MMR013,Yangon (West),Sanchaung,MMR013039,120665.8195,,,,120665.8195
Yangon,MMR013,Yangon (West),Hlaing,MMR013040,193788.6751,,,,193788.6751
Yangon,MMR013,Yangon (West),Kamaryut,MMR013041,101824.4101,,,,101824.4101
Yangon,MMR013,Yangon (West),Mayangone,MMR013042,238482.5502,,,,238482.5502
Yangon,MMR013,Yangon (West),Dagon,MMR013043,30183.20097,,,,30183.20097
Yangon,MMR013,Yangon (West),Bahan,MMR013044,116946.2818,,,,116946.2818
Yangon,MMR013,Yangon (West),Seikkan,MMR013045,3369.607673,,,,3369.607673
Shan (South),MMR222,Taunggyi,Taunggyi,MMR014001,503620.7488,2275,946,,500399.7488
Shan (South),MMR222,Taunggyi,Nyaungshwe,MMR014002,217900.1963,4674,1487,,211739.1963
Shan (South),MMR222,Pa-O Self-Administered Zone,Hopong,MMR014003,128348.5253,537,,,127811.5253
Shan (South),MMR222,Pa-O Self-Administered Zone,Hsihseng,MMR014004,174167.7194,6963,7952,,159252.7194
Shan (South),MMR222,Taunggyi,Kalaw,MMR014005,212956.6381,973,205,,211778.6381
Shan (South),MMR222,Danu Self-Administered Zone,Pindaya,MMR014006,91007.92235,508,300,,90199.92235
Shan (South),MMR222,Danu Self-Administered Zone,Ywangan,MMR014007,94661.90439,,,,94661.90439
Shan (South),MMR222,Taunggyi,Lawksawk,MMR014008,188076.0928,250,0,,187826.0928
Shan (South),MMR222,Pa-O Self-Administered Zone,Pinlaung,MMR014009,219988.5814,5053,7160,,207775.5814
Shan (South),MMR222,Taunggyi,Pekon,MMR014010,117598.4381,30862,34758,,51978.43809
Shan (South),MMR222,Loilen,Loilen,MMR014011,142577.6886,231,0,,142346.6886
Shan (South),MMR222,Loilen,Laihka,MMR014012,56040.95786,125,1753,,54162.95786
Shan (South),MMR222,Loilen,Nansang,MMR014013,133436.0498,,,,133436.0498
Shan (South),MMR222,Loilen,Kunhing,MMR014014,61513.19247,239,,,61274.19247
Shan (South),MMR222,Loilen,Kyethi,MMR014015,85226.86495,40,2589,,82597.86495
Shan (South),MMR222,Loilen,Mongkaing,MMR014016,85786.54676,5433,9717,,70636.54676
Shan (South),MMR222,Loilen,Monghsu,MMR014017,83089.59978,,7,,83082.59978
Shan (South),MMR222,Langkho,Langkho,MMR014018,47240.48739,,,,47240.48739
Shan (South),MMR222,Langkho,Mongnai,MMR014019,45447.78665,,,,45447.78665
Shan (South),MMR222,Langkho,Mawkmai,MMR014020,38617.64179,200,0,,38417.64179
